feature,mean_ic_drop,std_ic_drop,stability
sector_zscore_volatility_63d,0.018380957598679814,0.016825114267534934,0.625
sector_zscore_volatility_21d,0.009062415601996002,0.011420575179671023,0.5
ma_ratio_5_60,0.008461837279365086,0.011391494952855661,0.75
amihud_21d,0.006548857801657622,0.026336776404759253,0.375
conditional_momentum,0.006453985586575223,0.014352836747102023,0.625
sector_zscore_roe,0.004419867125339063,0.01166457606631999,0.625
sector_zscore_mom_21d,0.0036764429074540887,0.007671577414937667,0.5
roe,0.00259207561305673,0.0042355227415661525,0.5
gpa,0.0014071657227111437,0.006971642291377827,0.75
ma_ratio_20_120,0.001377900203628618,0.002980050725148327,0.5
earnings_growth_yoy,0.0010582156015360694,0.002103907626460579,0.5
low_price_trap,0.0005169619226417153,0.0016079380480339789,0.5
sector_zscore_mom_126d,0.00030311445081750805,0.00545249604339031,0.5
sector_zscore_mom_63d,0.00010388476184712743,0.0007119588002347098,0.375
sector_zscore_gpa,-4.801688443262166e-06,0.0019987783650943568,0.5
sector_zscore_turnover_21d,-6.329001999613466e-05,0.0016473395404530329,0.5
sector_momentum_21d,-7.967549671919916e-05,0.0005306410431372843,0.25
volume_ratio_21d,-8.345305494412546e-05,0.00024601943795923235,0.125
sector_rotation_signal,-0.00011875952888224195,0.0013427554742059314,0.375
sector_zscore_mom_5d,-0.00014517318958815004,0.0016886702355409287,0.25
sector_zscore_drawdown_252d,-0.0002860095377832684,0.0012238887172753745,0.125
distress_composite_score,-0.00029776274103077084,0.0008617950507246192,0.25
sector_momentum_63d,-0.0006858559704389275,0.0037133968010873886,0.375
value_regime_boost,-0.0010060474434058263,0.0023881391581567816,0.0
market_regime_120d,-0.0012632289563123678,0.0025839102509622332,0.125
accrual_regime_aware,-0.0013031713797004058,0.00302687999831407,0.25
momentum_quality,-0.0014948303401278206,0.00283675885326803,0.125
sector_relative_momentum_63d,-0.0016135873034067048,0.0029545956121133717,0.125
sector_dispersion_21d,-0.0016617911970187322,0.006973916266199101,0.25
sector_relative_momentum_21d,-0.0016782227645533222,0.004120813979092664,0.125
liquidity_decay_score,-0.0016852378433100227,0.005343781641074961,0.25
sector_dispersion,-0.0017485556031739524,0.00491102230926948,0.125
high_52w_proximity,-0.001948438561005337,0.014264602123276113,0.75
rolling_beta_60d,-0.006951813768686636,0.03225806956079154,0.5
